min_periods,stance_group,k_fixed,n_users,silhouette,ari_vs_min10
10,left,2,162,0.6359669699283746,1.0
10,right,3,318,0.5696817301341897,1.0
10,uncertain,2,76,0.5861123143677213,1.0
11,left,2,81,0.6768671742966652,1.0
11,right,3,161,0.590396065616501,0.9096715722239006
11,uncertain,2,33,0.6847054846289127,1.0
12,left,2,40,0.7069083807036483,1.0
12,right,3,67,0.6834679392776103,0.9464622748459203
12,uncertain,2,19,0.7063833955118742,1.0
13,left,2,21,0.7245101331728447,1.0
13,right,3,24,0.7298976446502653,1.0
13,uncertain,2,5,0.6206671349641607,1.0
14,left,2,7,0.7042616761234578,1.0
14,right,3,15,0.7828727588896432,1.0
14,uncertain,2,3,0.6666666666666666,1.0
