stance_group,solution,cluster,p_left_news,p_right_news,p_left_creator,p_right_creator
left,raw,0,0.577225926299105,0.18433292682456165,0.1866844038951098,0.05175674298122364
left,zscore,0,0.5888810779931267,0.19811427875941567,0.15879838721358394,0.05420625603387378
left,raw,1,0.06937763833977213,0.03161621098823522,0.8950919453345278,0.003914205337464519
left,zscore,1,0.08232340784826064,0.03078754355280954,0.8823762397939886,0.004512808804940908
right,raw,0,0.7085694785577297,0.20591353364627665,0.04503706452107661,0.04047992327491722
right,zscore,0,0.7160942167344638,0.20713201035082257,0.045719444286547464,0.031054328628166344
right,raw,1,0.1363896901975108,0.7544805894488219,0.008474547864529763,0.1006551724891372
right,zscore,1,0.13732237005795236,0.7467153237907653,0.008369923816819518,0.10759238233446235
right,raw,2,0.07405295091843349,0.010309214594928881,0.9104338708981111,0.0052039635885264305
right,zscore,2,0.07405295091843349,0.010309214594928881,0.9104338708981111,0.0052039635885264305
uncertain,raw,0,0.48297045688881163,0.25969773416037867,0.07742113735468105,0.1799106715961286
uncertain,zscore,0,0.48297045688881163,0.25969773416037867,0.07742113735468105,0.1799106715961286
uncertain,raw,1,0.062283488051784096,0.025916618104118105,0.9019231760629683,0.009876717781129547
uncertain,zscore,1,0.062283488051784096,0.025916618104118105,0.9019231760629683,0.009876717781129547
