Group,Political_Leaning,Source_Type,Year,Total_Comments,Contra_Prop,Neutral_Prop,Pro_Prop
Contra-Balance,Left,Content Creator,2020,4,0.25,0.75,0.0
Contra-Balance,Left,Content Creator,2021,38,0.3897058823529412,0.5661764705882353,0.04411764705882353
Contra-Balance,Left,Content Creator,2022,26,0.375,0.5,0.125
Contra-Balance,Left,Content Creator,2023,33,0.7083333333333333,0.22023809523809523,0.07142857142857142
Contra-Balance,Left,Content Creator,2024,14,0.48888888888888893,0.4111111111111111,0.1
Contra-Balance,Left,News Channel,2020,117,0.42620148856990964,0.4481047315257842,0.12569377990430622
Contra-Balance,Left,News Channel,2021,572,0.6209426665171142,0.30456667672423265,0.07449065675865295
Contra-Balance,Left,News Channel,2022,564,0.5285915828906532,0.3712871787186144,0.10012123839073223
Contra-Balance,Left,News Channel,2023,610,0.572088872374958,0.37570401198136666,0.05220711564367537
Contra-Balance,Left,News Channel,2024,581,0.6044674415636718,0.3397506213378884,0.05578193709843991
Contra-Balance,Left,News Channel,2025,4,0.25,0.75,0.0
Contra-Balance,Right,Content Creator,2020,2,0.0,1.0,0.0
Contra-Balance,Right,Content Creator,2021,20,0.45054945054945056,0.510989010989011,0.038461538461538464
Contra-Balance,Right,Content Creator,2022,18,0.25,0.7083333333333334,0.041666666666666664
Contra-Balance,Right,Content Creator,2023,9,0.0,1.0,0.0
Contra-Balance,Right,Content Creator,2024,14,0.4791666666666667,0.5208333333333334,0.0
Contra-Balance,Right,News Channel,2020,147,0.6416082343443663,0.2809345006983688,0.07745726495726496
Contra-Balance,Right,News Channel,2021,519,0.6043852324572938,0.31851115535554814,0.07710361218715812
Contra-Balance,Right,News Channel,2022,631,0.5395521540785343,0.4090573079094065,0.051390538012059214
Contra-Balance,Right,News Channel,2023,482,0.6167280128178131,0.32113725482485833,0.062134732357328616
Contra-Balance,Right,News Channel,2024,391,0.629408099565006,0.3106479803817338,0.05994392005326031
Contra-Balance,Right,News Channel,2025,2,0.5,0.0,0.5
Contra-Cross,Left,Content Creator,2020,135,0.45805469638421575,0.4835952758149554,0.05835002780082872
Contra-Cross,Left,Content Creator,2021,552,0.46504655373941894,0.446236407582517,0.08871703867806392
Contra-Cross,Left,Content Creator,2022,551,0.4001238466569174,0.46985076755627275,0.13002538578680978
Contra-Cross,Left,Content Creator,2023,405,0.5086995576416506,0.4321508145594905,0.059149627798858954
Contra-Cross,Left,Content Creator,2024,359,0.4958770519035959,0.39482537107469395,0.10929757702171027
Contra-Cross,Left,News Channel,2020,276,0.5358213015124081,0.3910040171260493,0.07317468136154262
Contra-Cross,Left,News Channel,2021,1348,0.555267048478346,0.34894705872049214,0.09578589280116191
Contra-Cross,Left,News Channel,2022,1338,0.5392648788373084,0.3708167740300514,0.08991834713264
Contra-Cross,Left,News Channel,2023,1183,0.5869762582331937,0.335376731545315,0.07764701022149154
